misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
5700,2052360,403,3.7459953900000005,1.3744184494018554,0.005429345369338989,2.1380411714315413
5720,2059560,403,3.1006617200000006,1.3740519165992737,0.008599357306957245,1.8465079307556151
5740,2066760,403,4.09016196,1.373686945438385,0.016592972725629807,2.181824278831482
5760,2073960,403,3.5851743900000006,1.37352694272995,0.007671710848808288,6.0864612579345705
5780,2081160,403,2.9036217499999997,1.3733545303344727,0.0012105733156204223,3.012804591655731
5800,2088360,403,3.6327711400000005,1.3726744294166564,0.012004145421087742,1.7886616826057433
5820,2095560,403,4.54867964,1.3723608374595642,0.009266171976923943,1.2491849184036254
5840,2102760,403,4.261160739999999,1.372221577167511,0.008860252099111676,1.7575326323509217
5860,2109960,403,3.50717013,1.3722991704940797,0.007664356380701065,4.176606094837188
5880,2117160,403,3.44063492,1.3720455527305604,0.010781215131282806,2.6246241211891173
5900,2124360,403,4.112098370000001,1.3715072751045227,0.012726323679089546,1.611906024813652
5920,2131560,403,4.84862428,1.371149492263794,0.029271263908594847,3.420453095436096
5940,2138760,403,4.63284971,1.3709453225135804,0.008301887661218643,3.1055612802505492
5960,2145960,403,4.52375507,1.3709376454353333,0.0063366246409714225,1.2634220629930497
5980,2153160,403,4.99602281,1.3707494616508484,0.01153137921464804,3.7487513542175295
6000,2160360,403,3.4006229900000005,1.3706510543823243,0.0002802588045597076,4.897467923164368
6020,2167560,403,3.3370045700000004,1.370407485961914,0.018017596378922463,2.6833548486232757
6040,2174760,403,4.662206179999999,1.3701709747314452,0.006688391789793968,1.8670106053352356
6060,2181960,403,4.64418703,1.3700515389442445,0.013948860485106707,1.5214959681034088
6080,2189160,403,4.74960984,1.369961678981781,0.009291763138025998,1.3293735563755036
6100,2196360,403,3.9202385100000003,1.3697131633758546,0.015816258382983506,1.1168174266815185
6120,2203560,403,4.94337309,1.3693815469741821,0.012216445943340658,1.250527036190033
6140,2210760,403,3.92834838,1.3689628720283509,0.013743891008198261,3.443394458293915
6160,2217960,403,3.411166,1.3688584566116333,0.015244358032941819,1.4464989840984344
6180,2225160,403,5.02601502,1.3686532497406005,0.013096862740349024,1.2277086138725282
6200,2232360,403,4.74435738,1.368502175807953,0.009892942011356353,3.250795531272888
6220,2239560,403,4.268130290000001,1.3688408017158509,0.011866337549872697,5.13093386888504
6240,2246760,402,3.01823531,1.3685183882713319,0.005380432982929051,1.2773455858230591
6260,2253960,402,4.44848992,1.3684698224067688,0.02057213488733396,5.772497880458832
6280,2261160,402,3.8233918900000003,1.3682070255279541,0.009605412743985653,1.495085608959198
6300,2268360,402,4.58069793,1.3679391980171203,0.02185793612152338,1.6552518963813783
6320,2275560,402,2.3502011200000004,1.3678138971328735,0.010597373428754508,1.4676347613334655
6340,2282760,402,3.44448755,1.3677475094795226,0.010729346331208945,4.126686692237854
6360,2289960,402,3.8645474799999993,1.3677149176597596,0.016651335451751948,3.3160953164100646
6380,2297160,402,4.52863149,1.367297625541687,0.01645596418529749,1.1951541423797607
6400,2304360,402,2.93487757,1.36678204536438,0.013412002474069595,1.501876711845398
6420,2311560,402,5.462052819999999,1.366714560985565,0.011241600662469865,4.307181406021118
